SN,redshift,distancemodulus,sigma
SN171,0.087589,38.2290570494,0.187745679272
SN172,0.0890194292939,37.8284529286,0.117432705446
SN173,0.0929368181997,38.1458300404,0.118950355954
SN174,0.0931494026855,38.280913725,0.114453830019
SN175,0.0939086318905,38.1728205141,0.117952906116
SN176,0.100915,38.4567455954,0.167333481677
SN177,0.102715033935,38.4872595888,0.119892508421
SN178,0.106712340103,38.6366669013,0.117621429285
SN179,0.108638265524,38.6505001979,0.119489654857
SN180,0.113042644637,38.5514541276,0.119237437717
SN181,0.11471262087,38.669095116,0.113372328428
SN182,0.116348502599,38.7461381651,0.112296117135
SN183,0.117277362889,38.7459338248,0.113702596154
SN184,0.117625328764,38.5794185081,0.113609962836
SN185,0.119671538006,38.7555381178,0.110740033634
SN186,0.12282889997,38.7997897008,0.12106543913
SN187,0.1241,38.8220333958,0.111614246562
SN188,0.124273528772,38.719986901,0.111134858876
SN189,0.1244,39.0447885112,0.164268687505
SN190,0.126473161901,38.7104691761,0.119200794649
SN191,0.12668798909,38.9152084322,0.123937308071
SN192,0.128726735467,38.8642253068,0.109513340257
SN193,0.129278206634,38.9180009489,0.134402615626
SN194,0.1299,38.979185469,0.12944495155
SN195,0.141787999126,39.2738113329,0.119521982693
SN196,0.1424046524,39.1164772511,0.113661193986
SN197,0.143705907,39.1857706544,0.116311967547
SN198,0.1441,38.8360422985,0.156777491835
SN199,0.144621085972,39.290829773,0.112727024487
SN200,0.145668547261,39.056715703,0.125750126249
SN201,0.146290296068,39.5590095488,0.120248735474
SN202,0.147025138268,39.3035839668,0.111657296738
SN203,0.151857894665,39.155788359,0.113847311938
SN204,0.154632097239,39.3239502295,0.112047393667
SN205,0.155247328221,39.3173204059,0.115415755865
SN206,0.1561,39.2292540222,0.0841441236726
SN207,0.159,39.4163640953,0.242628007812
SN208,0.159889937748,39.3505845262,0.114747057769
SN209,0.160861854636,39.3191758892,0.11864489981
SN210,0.163795894987,39.3945630608,0.113134872307
SN211,0.170628396749,39.474900116,0.116376625267
SN212,0.172,39.3022260063,0.429709120635
SN213,0.172742230556,39.5029361421,0.113458015916
SN214,0.173910056566,39.5319411053,0.128967775815
SN215,0.177600694977,40.070675851,0.12481415503
SN216,0.178,39.454790821,0.235746048095
SN217,0.17968564077,39.7209599451,0.116984880342
SN218,0.18,40.1895173161,0.445447560867
SN219,0.180119779968,39.6385777035,0.115560254718
SN220,0.181,39.6828885172,0.227088514354
SN221,0.18221823956,39.5938188438,0.119334463704
SN222,0.182548913397,39.7840215634,0.114083136974
SN223,0.183568404877,39.7107958033,0.123775734742
SN224,0.18581244671,39.8240975844,0.120667757481
SN225,0.186,39.7121679254,0.189043139487
SN226,0.188853175387,39.7920374862,0.119741860505
SN227,0.189706566951,39.9395625109,0.119682792229
SN228,0.192149980044,40.0392178782,0.121087443202
SN229,0.194316512142,39.9615200415,0.126373844923
SN230,0.196716068579,39.9244173787,0.134983153598
SN231,0.200611719928,39.8523918219,0.132867364384
SN232,0.202608679897,39.9677592554,0.128807331127
SN233,0.204979685349,40.0245002346,0.123526942937
SN234,0.205,39.9037694347,0.217272003785
SN235,0.210938395061,39.983937734,0.120818770577
SN236,0.2115869815,40.5603236924,0.159324733885
SN237,0.211629598493,39.9801047509,0.115235180715
SN238,0.212548765094,40.0875932773,0.13157696281
SN239,0.213,40.109041203,0.22335261095
